setting_name,model_name,pooling,layer,dam_n,dam_beta,dam_alpha,dam_lmbda,dam_steps_multiplier,n_stored,n_probe,decision_noise_std,corruption_mode,noise_std,max_shift,occlusion_frac,neurons,n_splits,ident_accuracy_mean,ident_accuracy_std,gen_accuracy_mean,gen_accuracy_std,mean_pairwise_cosine_similarity_mean,mean_pairwise_cosine_similarity_std,mean_pairwise_cosine_distance_mean,mean_pairwise_cosine_distance_std,pairwise_cosine_similarity_std_mean,pairwise_cosine_similarity_std_std,pairwise_cosine_distance_std_mean,pairwise_cosine_distance_std_std
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_1,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,97.0,1.695582495781317,5.0,1.5811388300841898,0.9957354732714567,0.00010109165851240563,0.004264526728543378,0.0001010916585123976,0.0018428906221424114,2.8207740698490453e-05,0.0018428906221424114,2.820774069849036e-05
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_2,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,52.75,4.430011286667337,10.0,2.23606797749979,0.9883146199581869,0.00015135347336252608,0.011685380041813043,0.00015135347336247163,0.004639779084720169,5.168289971355217e-05,0.004639779084720169,5.168289971355234e-05
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_3,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,30.5,4.650268809434568,7.5,3.1622776601683795,0.9774145194482298,0.00017646262699968362,0.022585480551770207,0.00017646262699970138,0.008042315147658588,0.00019836508551154158,0.008042315147658588,0.0001983650855115425
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_4,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,13.75,1.118033988749895,8.0,2.9154759474226504,0.9530733431725522,0.0003878236270886804,0.046926656827447684,0.0003878236270887048,0.01608462209571626,0.00026843304110279526,0.01608462209571626,0.00026843304110279526
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_5,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,12.0,1.0000000000000007,5.0,2.23606797749979,0.9184844988410068,0.00036655962149854417,0.08151550115899317,0.000366559621498498,0.024380687258893093,0.001056624848395943,0.024380687258893093,0.001056624848395943
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_6,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,10.0,1.3693063937629153,2.0,2.449489742783178,0.9000424141299932,0.00028552187004787246,0.09995758587000672,0.00028552187004784703,0.025263958009363558,0.0008754152269157787,0.025263958009363558,0.0008754152269157787
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_7,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,32.75,4.636809247747852,4.5,3.3166247903554,0.9112680610885164,0.0002588665135635418,0.08873193891148354,0.0002588665135635126,0.021670875861248294,0.0003729761423861942,0.021670875861248294,0.0003729761423861942
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_8,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,78.0,4.782781617427248,4.0,2.5495097567963922,0.9371557273165234,0.0003215434972739001,0.06284427268347667,0.0003215434972739075,0.015362555479804682,0.0002864830568389992,0.015362555479804682,0.0002864830568390003
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_9,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,93.75,1.7677669529663689,10.5,1.0,0.9480864764545626,0.0006374174177875029,0.05191352354543745,0.0006374174177874818,0.011652671281904583,0.0002622079927017343,0.011652671281904583,0.0002622079927017344
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_10,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,98.75,0.0,23.0,5.567764362830023,0.8818799344600361,0.0022419102837808935,0.11812006553996397,0.0022419102837808597,0.029797582337790413,0.0012745351096625963,0.029797582337790413,0.0012745351096625963
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_11,6,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,55.5,2.915475947422649,0.5581944131519713,0.0031815360390014557,0.44180558684802873,0.0031815360390014757,0.08282500777516924,0.0023759609046155213,0.08282500777516924,0.002375960904615521
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_0,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,4.5,1.8708286933869707,0.9958547235377591,0.00017779773423229217,0.0041452764622409545,0.00017779773423225637,0.0024108636094495152,0.00015961045348407806,0.0024108636094495152,0.00015961045348407798
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_1,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,96.75,1.5,4.5,1.8708286933869707,0.9957354732714567,0.00010109165851240563,0.004264526728543378,0.0001010916585123976,0.0018428906221424114,2.8207740698490453e-05,0.0018428906221424114,2.820774069849036e-05
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_2,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,51.75,3.6742346141747646,8.5,1.224744871391589,0.9883146199581869,0.00015135347336252608,0.011685380041813043,0.00015135347336247163,0.004639779084720169,5.168289971355217e-05,0.004639779084720169,5.168289971355234e-05
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_3,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,32.0,5.623610939600997,7.0,2.9154759474226504,0.9774145194482298,0.00017646262699968362,0.022585480551770207,0.00017646262699970138,0.008042315147658588,0.00019836508551154158,0.008042315147658588,0.0001983650855115425
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_4,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,14.0,1.4577379737113252,8.0,2.9154759474226504,0.9530733431725522,0.0003878236270886804,0.046926656827447684,0.0003878236270887048,0.01608462209571626,0.00026843304110279526,0.01608462209571626,0.00026843304110279526
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_5,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,12.25,0.9354143466934859,5.0,2.23606797749979,0.9184844988410068,0.00036655962149854417,0.08151550115899317,0.000366559621498498,0.024380687258893093,0.001056624848395943,0.024380687258893093,0.001056624848395943
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_6,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,10.25,1.224744871391589,2.0,2.449489742783178,0.9000424141299932,0.00028552187004787246,0.09995758587000672,0.00028552187004784703,0.025263958009363558,0.0008754152269157787,0.025263958009363558,0.0008754152269157787
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_7,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,33.0,4.444097208657794,4.0,3.391164991562634,0.9112680610885164,0.0002588665135635418,0.08873193891148354,0.0002588665135635126,0.021670875861248294,0.0003729761423861942,0.021670875861248294,0.0003729761423861942
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_8,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,78.0,4.782781617427248,4.0,2.5495097567963922,0.9371557273165234,0.0003215434972739001,0.06284427268347667,0.0003215434972739075,0.015362555479804682,0.0002864830568389992,0.015362555479804682,0.0002864830568390003
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_9,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,93.75,1.7677669529663689,10.5,1.0,0.9480864764545626,0.0006374174177875029,0.05191352354543745,0.0006374174177874818,0.011652671281904583,0.0002622079927017343,0.011652671281904583,0.0002622079927017344
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_10,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,98.75,0.0,22.5,5.700877125495691,0.8818799344600361,0.0022419102837808935,0.11812006553996397,0.0022419102837808597,0.029797582337790413,0.0012745351096625963,0.029797582337790413,0.0012745351096625963
easy_s80,vit_base_patch16_clip_224.openai,cls,layer_11,8,0.02,0.1,0.05,2,80,40,0.0,noise_shift,5.0,2,0.0,768,5,100.0,0.0,55.0,4.743416490252569,0.5581944131519713,0.0031815360390014557,0.44180558684802873,0.0031815360390014757,0.08282500777516924,0.0023759609046155213,0.08282500777516924,0.002375960904615521
